DATE,A191RI1A225NBEA
1930-01-01,-3.7
1931-01-01,-10.3
1932-01-01,-11.7
1933-01-01,-2.8
1934-01-01,5.5
1935-01-01,2.1
1936-01-01,1.2
1937-01-01,4.3
1938-01-01,-2.9
1939-01-01,-1.0
1940-01-01,1.2
1941-01-01,6.8
1942-01-01,8.0
1943-01-01,4.6
1944-01-01,2.4
1945-01-01,2.6
1946-01-01,12.9
1947-01-01,11.0
1948-01-01,5.6
1949-01-01,-0.2
1950-01-01,1.2
1951-01-01,7.1
1952-01-01,1.7
1953-01-01,1.2
1954-01-01,0.9
1955-01-01,1.7
1956-01-01,3.4
1957-01-01,3.3
1958-01-01,2.3
1959-01-01,1.4
1960-01-01,1.4
1961-01-01,1.1
1962-01-01,1.2
1963-01-01,1.1
1964-01-01,1.5
1965-01-01,1.8
1966-01-01,2.8
1967-01-01,2.9
1968-01-01,4.3
1969-01-01,4.9
1970-01-01,5.3
1971-01-01,5.1
1972-01-01,4.3
1973-01-01,5.5
1974-01-01,9
1975-01-01,9.3
1976-01-01,5.5
1977-01-01,6.2
1978-01-01,7
1979-01-01,8.3
1980-01-01,9
1981-01-01,9.5
1982-01-01,6.2
1983-01-01,3.9
1984-01-01,3.6
1985-01-01,3.2
1986-01-01,2
1987-01-01,2.5
1988-01-01,3.5
1989-01-01,3.9
1990-01-01,3.7
1991-01-01,3.4
1992-01-01,2.3
1993-01-01,2.4
1994-01-01,2.1
1995-01-01,2.1
1996-01-01,1.8
1997-01-01,1.7
1998-01-01,1.1
1999-01-01,1.4
2000-01-01,2.3
2001-01-01,2.3
2002-01-01,1.6
2003-01-01,2.0
2004-01-01,2.7
2005-01-01,3.1
2006-01-01,3.1
2007-01-01,2.7
2008-01-01,1.9
2009-01-01,0.6
2010-01-01,1.2
2011-01-01,2.1
2012-01-01,1.9
2013-01-01,1.7
2014-01-01,1.7
2015-01-01,0.9
2016-01-01,1.0
2017-01-01,1.8
2018-01-01,2.3
2019-01-01,1.7
2020-01-01,1.3
2021-01-01,4.6
2022-01-01,7.1
2023-01-01,3.6
