DATE,EXPGS,"Billions of Dollars,
Seasonally Adjusted Annual Rate"
1947/1/1,18.394,
1947/4/1,19.497,
1947/7/1,19.433,
1947/10/1,17.636,
1948/1/1,16.917,
1948/4/1,15.241,
1948/7/1,15.405,
1948/10/1,14.625,
1949/1/1,16.082,
1949/4/1,15.647,
1949/7/1,14.115,
1949/10/1,12.091,
1950/1/1,11.704,
1950/4/1,11.872,
1950/7/1,12.293,
1950/10/1,13.531,
1951/1/1,15.043,
1951/4/1,17.121,
1951/7/1,18.052,
1951/10/1,18.18,
1952/1/1,18.679,
1952/4/1,16.581,
1952/7/1,15.246,
1952/10/1,15.329,
1953/1/1,15.128,
1953/4/1,15.196,
1953/7/1,15.755,
1953/10/1,15.172,
1954/1/1,14.424,
1954/4/1,16.438,
1954/7/1,15.878,
1954/10/1,16.605,
1955/1/1,17.273,
1955/4/1,16.942,
1955/7/1,18.145,
1955/10/1,18.349,
1956/1/1,19.365,
1956/4/1,20.882,
1956/7/1,21.822,
1956/10/1,23.068,
1957/1/1,24.919,
1957/4/1,24.369,
1957/7/1,23.759,
1957/10/1,23.022,
1958/1/1,20.534,
1958/4/1,20.546,
1958/7/1,20.595,
1958/10/1,20.563,
1959/1/1,21.915,
1959/4/1,21.776,
1959/7/1,24.079,
1959/10/1,23.131,
1960/1/1,26.145,
1960/4/1,26.85,
1960/7/1,27.561,
1960/10/1,27.622,
1961/1/1,27.56,
1961/4/1,26.627,
1961/7/1,27.779,
1961/10/1,28.442,
1962/1/1,28.325,
1962/4/1,29.662,
1962/7/1,29.593,
1962/10/1,28.683,
1963/1/1,29.161,
1963/4/1,31.448,
1963/7/1,31.215,
1963/10/1,32.474,
1964/1/1,34.192,
1964/4/1,34.03,
1964/7/1,35.375,
1964/10/1,36.48,
1965/1/1,32.969,
1965/4/1,38.367,
1965/7/1,37.551,
1965/10/1,39.698,
1966/1/1,39.356,
1966/4/1,40.872,
1966/7/1,40.857,
1966/10/1,42.594,
1967/1/1,43.886,
1967/4/1,43.239,
1967/7/1,42.845,
1967/10/1,43.896,
1968/1/1,45.452,
1968/4/1,47.165,
1968/7/1,49.891,
1968/10/1,49.116,
1969/1/1,44.042,
1969/4/1,53.775,
1969/7/1,53.596,
1969/10/1,56.275,
1970/1/1,57.031,
1970/4/1,60.411,
1970/7/1,60.519,
1970/10/1,60.873,
1971/1/1,63.221,
1971/4/1,62.894,
1971/7/1,65.717,
1971/10/1,60.019,
1972/1/1,68.639,
1972/4/1,67.152,
1972/7/1,71.453,
1972/10/1,76.129,
1973/1/1,83.959,
1973/4/1,91.923,
1973/7/1,97.576,
1973/10/1,107.62,
1974/1/1,116.709,
1974/4/1,126.668,
1974/7/1,126.638,
1974/10/1,136.585,
1975/1/1,141.369,
1975/4/1,136.827,
1975/7/1,134.098,
1975/10/1,142.531,
1976/1/1,143.588,
1976/4/1,146.621,
1976/7/1,151.775,
1976/10/1,156.076,
1977/1/1,155.354,
1977/4/1,161.906,
1977/7/1,162.325,
1977/10/1,157.809,
1978/1/1,164.601,
1978/4/1,186.215,
1978/7/1,191.302,
1978/10/1,205.415,
1979/1/1,211.669,
1979/4/1,220.908,
1979/7/1,234.277,
1979/10/1,253.664,
1980/1/1,268.508,
1980/4/1,277.389,
1980/7/1,284.673,
1980/10/1,292.517,
1981/1/1,305.467,
1981/4/1,308.455,
1981/7/1,302.339,
1981/10/1,304.695,
1982/1/1,293.202,
1982/4/1,294.729,
1982/7/1,279.634,
1982/10/1,265.274,
1983/1/1,270.703,
1983/4/1,272.514,
1983/7/1,278.181,
1983/10/1,286.587,
1984/1/1,292.975,
1984/4/1,302.2,
1984/7/1,305.744,
1984/10/1,308.603,
1985/1/1,306.01,
1985/4/1,304.126,
1985/7/1,297.273,
1985/10/1,305.433,
1986/1/1,313.404,
1986/4/1,315.119,
1986/7/1,320.471,
1986/10/1,334.999,
1987/1/1,336.451,
1987/4/1,355.36,
1987/7/1,371.854,
1987/10/1,392.107,
1988/1/1,418.727,
1988/4/1,439.471,
1988/7/1,453.586,
1988/10/1,466.619,
1989/1/1,485.189,
1989/4/1,507.229,
1989/7/1,509.352,
1989/10/1,515.387,
1990/1/1,538.232,
1990/4/1,545.925,
1990/7/1,555.149,
1990/10/1,568.186,
1991/1/1,573.177,
1991/4/1,590.733,
1991/7/1,600.595,
1991/10/1,615.217,
1992/1/1,625.287,
1992/4/1,626.163,
1992/7/1,639.365,
1992/10/1,641.396,
1993/1/1,643.606,
1993/4/1,653.094,
1993/7/1,650.897,
1993/10/1,671.6,
1994/1/1,681.232,
1994/4/1,706.988,
1994/7/1,736.883,
1994/10/1,758.646,
1995/1/1,781.57,
1995/4/1,798.851,
1995/7/1,831.399,
1995/10/1,839.421,
1996/1/1,847.94,
1996/4/1,859.042,
1996/7/1,859.577,
1996/10/1,903.798,
1997/1/1,918.374,
1997/4/1,954.45,
1997/7/1,974.057,
1997/10/1,968.33,
1998/1/1,963.021,
1998/4/1,947.295,
1998/7/1,935.263,
1998/10/1,966.337,
1999/1/1,960.764,
1999/4/1,974.597,
1999/7/1,1005.309,
1999/10/1,1030.971,
2000/1/1,1052.904,
2000/4/1,1093.36,
2000/7/1,1125.002,
2000/10/1,1113.177,
2001/1/1,1096.812,
2001/4/1,1058.013,
2001/7/1,998.902,
2001/10/1,953.52,
2002/1/1,969.157,
2002/4/1,1004.154,
2002/7/1,1015.56,
2002/10/1,1003.046,
2003/1/1,1004.201,
2003/4/1,1007.465,
2003/7/1,1037.31,
2003/10/1,1091.682,
2004/1/1,1133.669,
2004/4/1,1170.152,
2004/7/1,1180.185,
2004/10/1,1221.444,
2005/1/1,1258.408,
2005/4/1,1294.853,
2005/7/1,1302.315,
2005/10/1,1350.743,
2006/1/1,1413.966,
2006/4/1,1459.767,
2006/7/1,1475.417,
2006/10/1,1531.531,
2007/1/1,1577.991,
2007/4/1,1622.764,
2007/7/1,1685.71,
2007/10/1,1750.714,
2008/1/1,1813.321,
2008/4/1,1905.282,
2008/7/1,1922.215,
2008/10/1,1700.304,
2009/1/1,1511.768,
2009/4/1,1521.093,
2009/7/1,1594.725,
2009/10/1,1703.508,
2010/1/1,1759.877,
2010/4/1,1819.741,
2010/7/1,1877.253,
2010/10/1,1972.116,
2011/1/1,2040.407,
2011/4/1,2116.132,
2011/7/1,2156.793,
2011/10/1,2150.123,
2012/1/1,2189.981,
2012/4/1,2215.586,
2012/7/1,2227.734,
2012/10/1,2237.498,
2013/1/1,2255.929,
2013/4/1,2261.403,
2013/7/1,2285.116,
2013/10/1,2349.24,
2014/1/1,2343.602,
2014/4/1,2395.168,
2014/7/1,2399.191,
2014/10/1,2376.218,
2015/1/1,2299.045,
2015/4/1,2300.441,
2015/7/1,2260.724,
2015/10/1,2222.279,
2016/1/1,2181.957,
2016/4/1,2221.936,
2016/7/1,2270,
2016/10/1,2268.339,
2017/1/1,2339.728,
2017/4/1,2349.681,
2017/7/1,2384.524,
2017/10/1,2479.107,
2018/1/1,2517.268,
2018/4/1,2562.172,
2018/7/1,2535.501,
2018/10/1,2537.415,
2019/1/1,2540.244,
2019/4/1,2547.448,
2019/7/1,2532.405,
2019/10/1,2537.466,
2020/1/1,2416.181,
2020/4/1,1814.401,
2020/7/1,2105.083,
2020/10/1,2268.891,
2021/1/1,2381.224,
2021/4/1,2505.032,
2021/7/1,2570.103,
2021/10/1,2765.36,
2022/1/1,2848.698,
2022/4/1,3071.551,
2022/7/1,3102.55,
2022/10/1,3046.718,
2023/1/1,3060.562,
2023/4/1,2995.524,
2023/7/1,3062.041,
2023/10/1,3091.748,
