DATE,EXPORT
1/1/1952,648
1/4/1952,662
1/7/1952,776
1/10/1952,814
1/1/1953,775
1/4/1953,774
1/7/1953,565
1/10/1953,620
1/1/1954,582
1/4/1954,581
1/7/1954,613
1/10/1954,640
1/1/1955,603
1/4/1955,582
1/7/1955,633
1/10/1955,715
1/1/1956,777
1/4/1956,869
1/7/1956,767
1/10/1956,796
1/1/1957,834
1/4/1957,744
1/7/1957,687
1/10/1957,751
1/1/1958,694
1/4/1958,710
1/7/1958,731
1/10/1958,854
1/1/1959,662
1/4/1959,814
1/7/1959,844
1/10/1959,958
1/1/1960,974
1/4/1960,966
1/7/1960,1016
1/10/1960,980
1/1/1961,954
1/4/1961,931
1/7/1961,1014
1/10/1961,1032
1/1/1962,1065
1/4/1962,1040
1/7/1962,1097
1/10/1962,1187
1/1/1963,1163
1/4/1963,1211
1/7/1963,1283
1/10/1963,1334
1/1/1964,1356
1/4/1964,1429
1/7/1964,1448
1/10/1964,1551
1/1/1965,1579
1/4/1965,1549
1/7/1965,1603
1/10/1965,1799
1/1/1966,1695
1/4/1966,1691
1/7/1966,2018
1/10/1966,2159
1/1/1967,2069
1/4/1967,2090
1/7/1967,2113
1/10/1967,2508
1/1/1968,2136
1/4/1968,2522
1/7/1968,2813
1/10/1968,3099
1/1/1969,2708
1/4/1969,3048
1/7/1969,3545
1/10/1969,3894
1/1/1970,3231
1/4/1970,3749
1/7/1970,4094
1/10/1970,4165
1/1/1971,3638
1/4/1971,4317
1/7/1971,4678
1/10/1971,4531
1/1/1972,4185
1/4/1972,4621
1/7/1972,5347
1/10/1972,5244
1/1/1973,4945
1/4/1973,5759
1/7/1973,7479
1/10/1973,7816
1/1/1974,7077
1/4/1974,8093
1/7/1974,8085
1/10/1974,6780
1/1/1975,6086
1/4/1975,6929
1/7/1975,8314
1/10/1975,8500
1/1/1976,8955
1/4/1976,10104
1/7/1976,11254
1/10/1976,11244
1/1/1977,9534
1/4/1977,10853
1/7/1977,12175
1/10/1977,12272
1/1/1978,10353
1/4/1978,12989
1/7/1978,14650
1/10/1978,15748
1/1/1979,14238
1/4/1979,18283
1/7/1979,21442
1/10/1979,21950
1/1/1980,19750
1/4/1980,24642
1/7/1980,26737
1/10/1980,27223
1/1/1981,25602
1/4/1981,29571
1/7/1981,33190
1/10/1981,33909
1/1/1982,28139
1/4/1982,31148
1/7/1982,33553
1/10/1982,34677
1/1/1983,29782
1/4/1983,37353
1/7/1983,44126
1/10/1983,49476
1/1/1984,45838
1/4/1984,54054
1/7/1984,60603
1/10/1984,60986
1/1/1985,54449
1/4/1985,58600
1/7/1985,60558
1/10/1985,61563
1/1/1986,53151
1/4/1986,65255
1/7/1986,75333
1/10/1986,82787
1/1/1987,75012
1/4/1987,90915
1/7/1987,104297
1/10/1987,107819
1/1/1988,97038
1/4/1988,115910
1/7/1988,136390
1/10/1988,143748
1/1/1989,123048
1/4/1989,140104
1/7/1989,155566
1/10/1989,151794
1/1/1990,129610
1/4/1990,154026
1/7/1990,170660
1/10/1990,185580
1/1/1991,152849
1/4/1991,185189
1/7/1991,207911
1/10/1991,219936
1/1/1992,188319
1/4/1992,227855
1/7/1992,249428
1/10/1992,259351
1/1/1993,222907
