DATE,GDP
1/1/1973,9697
1/4/1973,9586
1/7/1973,10979
1/10/1973,11064
1/1/1974,11664
1/4/1974,11371
1/7/1974,12412
1/10/1974,11794
1/1/1975,11914
1/4/1975,11831
1/7/1975,13010
1/10/1975,12833
1/1/1976,14890
1/4/1976,14721
1/7/1976,16650
1/10/1976,16896
1/1/1977,17492
1/4/1977,17111
1/7/1977,19151
1/10/1977,19529
1/1/1978,20310
1/4/1978,20643
1/7/1978,21683
1/10/1978,23146
1/1/1979,24852
1/4/1979,26794
1/7/1979,29375
1/10/1979,31669
1/1/1980,31753
1/4/1980,34829
1/7/1980,38021
1/10/1980,39017
1/1/1981,39376
1/4/1981,41166
1/7/1981,44885
1/10/1981,48150
1/1/1982,45698
1/4/1982,46641
1/7/1982,51474
1/10/1982,52192
1/1/1983,48061
1/4/1983,51113
1/7/1983,56989
1/10/1983,61119
1/1/1984,58936
1/4/1984,63922
1/7/1984,69741
1/10/1984,69393
1/1/1985,67354
1/4/1985,67087
1/7/1985,71300
1/10/1985,72386
1/1/1986,70571
1/4/1986,74616
1/7/1986,85058
1/10/1986,90281
1/1/1987,86263
1/4/1987,91874
1/7/1987,107442
1/10/1987,109192
1/1/1988,102429
1/4/1988,109030
1/7/1988,124467
1/10/1988,130151
1/1/1989,120455
1/4/1989,128238
1/7/1989,141935
1/10/1989,145931
1/1/1990,133562
1/4/1990,143368
1/7/1990,159114
1/10/1990,163214
1/1/1991,152222
1/4/1991,164347
1/7/1991,184188
1/10/1991,190566
1/1/1992,180376
1/4/1992,193045
1/7/1992,214123
1/10/1992,219585
1/1/1993,209714
1/4/1993,223021
1/7/1993,246164
1/10/1993,252109
1/1/1994,241043
1/4/1994,254157
1/7/1994,273827
1/10/1994,280583
1/1/1995,258819
1/4/1995,271769
1/7/1995,289442
1/10/1995,298976
1/1/1996,279132
1/4/1996,298035
1/7/1996,319919
1/10/1996,338215
1/1/1997,314111
1/4/1997,340130
1/7/1997,359487
1/10/1997,359355
1/1/1998,316887
1/4/1998,326177
1/7/1998,333161
1/10/1998,331849
1/1/1999,300174
1/4/1999,315431
1/7/1999,329289
1/10/1999,341052
1/1/2000,321039
1/4/2000,325717
1/7/2000,342978
1/10/2000,347767
1/1/2001,318843
1/4/2001,322470
1/7/2001,336906
1/10/2001,342923
1/1/2002,308313
1/4/2002,315423
1/7/2002,333309
1/10/2002,340295
1/1/2003,304457
1/4/2003,293356
1/7/2003,323046
1/10/2003,335810
1/1/2004,313811
1/4/2004,317077
1/7/2004,333880
1/10/2004,352181
1/1/2005,327783
1/4/2005,338730
1/7/2005,363813
1/10/2005,381799
1/1/2006,355347
1/4/2006,357109
1/7/2006,382405
1/10/2006,408491
1/1/2007,381839
1/4/2007,386249
1/7/2007,423798
1/10/2007,458870
1/1/2008,418762
1/4/2008,409388
1/7/2008,436152
1/10/2008,443186
1/1/2009,389033
1/4/2009,396706
1/7/2009,421283
1/10/2009,452223
1/1/2010,422783
1/4/2010,412768
1/7/2010,456830
1/10/2010,483951
1/1/2011,463467
1/4/2011,456607
1/7/2011,495500
1/10/2011,518856
1/1/2012,483654
1/4/2012,473958
1/7/2012,523740
1/10/2012,555707
1/1/2013,509631
1/4/2013,492375
1/7/2013,551059
1/10/2013,585240
1/1/2014,535907
1/4/2014,526194
1/7/2014,580793
1/10/2014,617111
1/1/2015,572160
1/4/2015,565750
1/7/2015,614251
1/10/2015,646119
1/1/2016,590572
1/4/2016,585155
1/7/2016,636400
1/10/2016,678471
1/1/2017,631450
1/4/2017,628300
1/7/2017,679453
1/10/2017,720408
1/1/2018,684576
1/4/2018,673782
1/7/2018,723381
1/10/2018,753690
1/1/2019,702601
1/4/2019,688922
1/7/2019,714029
1/10/2019,739470
1/1/2020,654083
1/4/2020,627597
1/7/2020,687240
1/10/2020,706873
1/1/2021,705090
1/4/2021,678833
1/7/2021,730502
1/10/2021,753548
1/1/2022,684813
1/4/2022,674635
1/7/2022,717540
1/10/2022,731993
1/1/2023,718904
1/4/2023,703912
1/7/2023,765849
1/10/2023,792936
1/1/2024,767455
1/4/2024,757273
