DATE,EXPORT
1/1/1947,18.394
1/4/1947,19.497
1/7/1947,19.433
1/10/1947,17.636
1/1/1948,16.917
1/4/1948,15.241
1/7/1948,15.405
1/10/1948,14.625
1/1/1949,16.082
1/4/1949,15.647
1/7/1949,14.115
1/10/1949,12.091
1/1/1950,11.704
1/4/1950,11.872
1/7/1950,12.293
1/10/1950,13.531
1/1/1951,15.043
1/4/1951,17.121
1/7/1951,18.052
1/10/1951,18.18
1/1/1952,18.679
1/4/1952,16.581
1/7/1952,15.246
1/10/1952,15.329
1/1/1953,15.128
1/4/1953,15.196
1/7/1953,15.755
1/10/1953,15.172
1/1/1954,14.424
1/4/1954,16.438
1/7/1954,15.878
1/10/1954,16.605
1/1/1955,17.273
1/4/1955,16.942
1/7/1955,18.145
1/10/1955,18.349
1/1/1956,19.365
1/4/1956,20.882
1/7/1956,21.822
1/10/1956,23.068
1/1/1957,24.919
1/4/1957,24.369
1/7/1957,23.759
1/10/1957,23.022
1/1/1958,20.534
1/4/1958,20.546
1/7/1958,20.595
1/10/1958,20.563
1/1/1959,21.915
1/4/1959,21.776
1/7/1959,24.079
1/10/1959,23.131
1/1/1960,26.145
1/4/1960,26.85
1/7/1960,27.561
1/10/1960,27.622
1/1/1961,27.56
1/4/1961,26.627
1/7/1961,27.779
1/10/1961,28.442
1/1/1962,28.325
1/4/1962,29.662
1/7/1962,29.593
1/10/1962,28.683
1/1/1963,29.161
1/4/1963,31.448
1/7/1963,31.215
1/10/1963,32.474
1/1/1964,34.192
1/4/1964,34.03
1/7/1964,35.375
1/10/1964,36.48
1/1/1965,32.969
1/4/1965,38.367
1/7/1965,37.551
1/10/1965,39.698
1/1/1966,39.356
1/4/1966,40.872
1/7/1966,40.857
1/10/1966,42.594
1/1/1967,43.886
1/4/1967,43.239
1/7/1967,42.845
1/10/1967,43.896
1/1/1968,45.452
1/4/1968,47.165
1/7/1968,49.891
1/10/1968,49.116
1/1/1969,44.042
1/4/1969,53.775
1/7/1969,53.596
1/10/1969,56.275
1/1/1970,57.031
1/4/1970,60.411
1/7/1970,60.519
1/10/1970,60.873
1/1/1971,63.221
1/4/1971,62.894
1/7/1971,65.717
1/10/1971,60.019
1/1/1972,68.639
1/4/1972,67.152
1/7/1972,71.453
1/10/1972,76.129
1/1/1973,83.959
1/4/1973,91.923
1/7/1973,97.576
1/10/1973,107.62
1/1/1974,116.709
1/4/1974,126.668
1/7/1974,126.638
1/10/1974,136.585
1/1/1975,141.369
1/4/1975,136.827
1/7/1975,134.098
1/10/1975,142.531
1/1/1976,143.588
1/4/1976,146.621
1/7/1976,151.775
1/10/1976,156.076
1/1/1977,155.354
1/4/1977,161.906
1/7/1977,162.325
1/10/1977,157.809
1/1/1978,164.601
