Date,GDP_HK,Export_HK,GDP_US,Export_US
1973-01-01,9697,4945,1377.49,83.959
1974-01-01,11664,7077,1491.209,116.709
1975-01-01,11914,6086,1616.116,141.369
1976-01-01,14890,8955,1820.487,143.588
1977-01-01,17492,9534,1988.648,155.354
1978-01-01,20310,10353,2202.76,164.601
1979-01-01,24852,14238,2526.61,211.669
1980-01-01,31753,19750,2789.842,268.508
1981-01-01,39376,25602,3124.206,305.467
1982-01-01,45698,28139,3274.302,293.202
1983-01-01,48061,29782,3473.413,270.703
1984-01-01,58936,45838,3908.054,292.975
1985-01-01,67354,54449,4230.168,306.01
1986-01-01,70571,53151,4507.894,313.404
1987-01-01,86263,75012,4722.156,336.451
1988-01-01,102429,97038,5073.372,418.727
1989-01-01,120455,123048,5511.253,485.189
1990-01-01,133562,129610,5872.701,538.232
1991-01-01,152222,152849,6035.178,573.177
1992-01-01,180376,188319,6363.102,625.287
1993-01-01,209714,222907,6729.459,643.606
1994-01-01,241043,242000,7115.652,681.232
1995-01-01,258819,290656,7522.289,781.57
1996-01-01,279132,307287,7868.468,847.94
1997-01-01,314111,313958,8362.655,918.374
1998-01-01,316887,310976,8866.48,963.021
1999-01-01,300174,283098,9411.682,960.764
2000-01-01,321039,339866,10002.179,1052.904
2001-01-01,318843,347504,10470.231,1096.812
2002-01-01,308313,325877,10783.5,969.157
2003-01-01,304457,383263,11174.129,1004.201
2004-01-01,313811,433024,11923.447,1133.669
2005-01-01,327783,478656,12767.286,1258.408
2006-01-01,355347,537103,13599.16,1413.966
2007-01-01,381839,585639,14215.651,1577.991
2008-01-01,418762,647018,14706.538,1813.321
2009-01-01,389033,505178,14430.902,1511.768
2010-01-01,422783,636489,14764.61,1759.877
2011-01-01,463467,793012,15351.448,2040.407
2012-01-01,483654,781475,16068.805,2189.981
2013-01-01,509631,812271,16648.189,2255.929
2014-01-01,535907,817893,17197.738,2343.602
2015-01-01,572160,836321,18063.529,2299.045
2016-01-01,590572,779716,18525.933,2181.957
2017-01-01,631450,859901,19280.084,2339.728
2018-01-01,684576,943522,20328.553,2517.268
2019-01-01,702601,921016,21111.6,2540.244
2020-01-01,654083,831601,21727.657,2416.181
2021-01-01,705090,1108181,22656.793,2381.224
2022-01-01,684813,1146106,25215.491,2848.698
2023-01-01,718904,944308,27164.359,3060.562
2024-01-01,767455,1057253,28624.069,3125.421
