,Returns,Volatility,Beta,Sharpe_Ratio,PE
ABT,0.203100876,0.219386699,0.67519,0.925766589,34.078876
ABBV,0.220948217,0.284532502,,0.776530679,31.364618
ABMD,0.465194077,0.470734694,1.307399,0.988229852,66.22267
ACN,0.217335815,0.239580164,1.091403,0.907152794,35.498936
ATVI,0.259881855,0.313744739,0.601741,0.828322591,28.25
ADBE,0.322719535,0.295316046,0.952665,1.092793769,53.87209
AMD,0.411510486,0.587823019,2.04951,0.700058474,37.430386
AAP,0.140728651,0.318631843,1.381392,0.441665371,22.780106
AES,0.137458646,0.302927902,0.806311,0.453766871,
AFL,0.108083882,0.27495427,0.992927,0.393097669,6.608989
A,0.188449049,0.286544875,1.004896,0.657659814,51.24749
APD,0.171635898,0.237803036,0.791077,0.721756547,34.29531
AKAM,0.148356079,0.36966783,0.413492,0.401322666,33.69486
ALK,0.214403923,0.382354373,1.793253,0.560746622,
ALB,0.177799808,0.358014508,1.551686,0.496627383,61.486122
ARE,0.14757807,0.232976097,0.748639,0.633447258,30.263039
ALGN,0.429464067,0.446357315,1.687159,0.962153082,79.31152
ALLE,0.165280244,0.258891807,1.194776,0.638414349,26.863325
LNT,0.157508504,0.198300669,0.338955,0.794291339,23.87031
ALL,0.170483077,0.224947489,0.842763,0.75787944,11.44202
GOOGL,0.210648797,0.257453032,1.010881,0.81820282,29.22896
GOOG,0.211265664,0.258246827,1.010881,0.818076514,29.33624
MO,0.125313535,0.206184359,0.651251,0.607774205,19.648262
AMZN,0.339880987,0.316462541,1.151795,1.074000688,57.977
AMCR,0.114070972,0.254154839,0.421288,0.44882471,20.94203
AEE,0.162532574,0.212855553,0.269314,0.763581553,21.980093
AAL,0.186576852,0.524877753,1.829162,0.355467252,
AEP,0.141499771,0.194576368,0.262241,0.727219715,18.788914
AXP,0.159219072,0.28656563,1.281828,0.555611195,19.82907
AIG,0.050591572,0.33768193,1.353645,0.149820194,
AMT,0.191481135,0.235089445,0.231229,0.814503327,56.97018
AWK,0.225869254,0.210631778,0.222524,1.072341772,42.97878
AMP,0.205504519,0.343943892,1.677366,0.597494313,29.724178
ABC,0.154194972,0.257199452,0.544613,0.599515164,
AME,0.193260801,0.257914515,1.331882,0.749321152,39.830997
AMGN,0.197531976,0.250987856,0.71001,0.787018061,20.006626
APH,0.199315017,0.247756921,1.244831,0.804478098,32.117855
ADI,0.203180128,0.28604107,1.248639,0.710318026,39.95704
ANSS,0.23059301,0.268315192,1.212187,0.859410936,70.0894
ANTM,0.231733681,0.292042447,1.045701,0.793493148,22.72383
AON,0.187874357,0.21790202,,0.862196494,28.612455
AOS,0.225410951,0.268926773,1.047878,0.838187098,25.95203
APA,-0.051338415,0.522101517,4.928726,-0.098330332,892.8572
AAPL,0.300153838,0.284565803,1.20729,1.054778315,28.555208
AMAT,0.260601344,0.343756261,1.445593,0.758099191,29.13994
APTV,0.291832178,0.352474108,2.12568,0.827953518,93.63076
ADM,0.111458589,0.25472174,0.89173,0.437569986,14.558751
ANET,0.355282433,0.450245168,1.166847,0.78908661,44.578697
AJG,0.195492501,0.202592321,0.662437,0.964955135,31.995865
AIZ,0.181186776,0.25885561,0.636956,0.69995306,21.99136
T,0.072441628,0.196225957,0.754624,0.369174543,
ATO,0.162834505,0.211012508,0.394021,0.771681766,17.80567
ADSK,0.273047906,0.359833599,1.331521,0.758817149,55.025703
ADP,0.196199416,0.222834209,0.724456,0.880472605,36.425716
AZO,0.175426873,0.236063681,0.948369,0.743133684,17.83026
AVB,0.096016531,0.238413819,0.951033,0.402730558,39.816498
AVY,0.191585453,0.273467144,1.015217,0.70057942,28.056997
BKR,0.029191677,0.388544905,1.734782,0.075130769,
BLL,0.206226324,0.234181321,0.424374,0.8806267,35.334206
BAC,0.158608094,0.355852929,1.553318,0.445712487,12.786667
BK,0.093534835,0.277147434,1.067464,0.337491255,13.273856
BAX,0.149574123,0.21889764,0.67791,0.68330624,35.497936
BDX,0.147393718,0.206951081,0.77149,0.71221526,45.571987
BRK.B,,,,,
BBY,0.220233981,0.407451886,1.547826,0.540515307,13.171161
BIO,0.206014494,0.259841738,0.807501,0.792846045,5.4426966
BIIB,0.206891498,0.395037641,0.416304,0.523726036,16.936914
BLK,0.198538429,0.277498774,1.175543,0.715456959,25.129536
BA,0.206245058,0.35960468,1.685052,0.57353274,
BKNG,0.221913449,0.315401191,1.272282,0.70359103,127.376175
BWA,0.072901366,0.333675255,1.568478,0.218479989,24.989796
BXP,0.076005966,0.261415509,,0.290747732,40.102493
BSX,0.199940797,0.296251632,0.882608,0.674901924,323.40424
BMY,0.147153876,0.242272321,0.620783,0.607390375,
AVGO,0.362714761,0.358757896,0.949456,1.011029346,45.11572
BR,0.241135238,0.221854709,0.87663,1.086906105,39.465424
BF.B,,,,,
CHRW,0.068134974,0.241683317,0.710326,0.281918399,20.133213
COG,0.134816825,0.384169373,0.167126,0.350930695,23.529411
CDNS,0.322258025,0.28817804,1.035852,1.118260175,63.09829
CZR,0.651303664,0.627217469,3.180434,1.038401665,
CPB,0.086803142,0.221350076,0.570184,0.392153206,16.448458
COF,0.155670837,0.334706481,1.781521,0.465096572,10.570008
CAH,0.098182281,0.273709198,1.079434,0.3587102,15.202253
KMX,0.165067835,0.335505359,1.653804,0.49199761,29.634954
CCL,0.058137894,0.454490885,2.359624,0.127918723,
CARR,1.664142702,0.643167975,,2.587415366,
CTLT,0.321870039,0.358586055,1.450543,0.897608913,40.572296
CAT,0.136538241,0.289563704,0.916304,0.471530923,33.05884
CBOE,0.183886809,0.248482844,0.642391,0.74003825,26.008783
CBRE,0.173774602,0.351272538,1.501086,0.49470022,38.723404
CDW,0.313749836,0.287135177,1.107608,1.092690345,30.98175
CE,0.187505528,0.334256268,1.214363,0.560963388,7.057474
CNC,0.298460446,0.381222901,0.469021,0.782902721,16.386435
CNP,0.107024485,0.258763822,0.984221,0.413599103,23.44383
CERN,0.155973081,0.261913854,,0.595512911,
CF,0.139773552,0.39827288,1.264961,0.350949208,25.37594
CRL,0.239958495,0.298160956,1.138737,0.804795161,55.258015
SCHW,0.178826487,0.326178458,1.055495,0.548247387,28.359766
CHTR,0.32410695,0.284550776,0.982065,1.139012708,42.053352
CVX,0.070389373,0.278136213,1.31936,0.253075185,
CMG,0.249392303,0.351543958,1.352173,0.709419967,130.56613
CB,0.139482593,0.226478174,0.711643,0.615876536,13.700877
CHD,0.198341483,0.200350545,0.376086,0.989972263,28.110392
CI,0.217764388,0.294237206,0.904891,0.740098068,9.863326
CINF,0.16998469,0.256661186,0.667573,0.662292156,6.252254
CTAS,0.300885199,0.256098767,1.474456,1.174879531,43.145798
CSCO,0.143390353,0.266735725,0.895538,0.53757461,22.889624
C,0.102389192,0.356314191,1.915217,0.287356481,9.276993
CFG,0.174045543,0.387719097,1.772282,0.448895977,11.836047
CTXS,0.136716897,0.306164498,0.104347,0.446547194,30.688395
CLX,0.163909929,0.196213277,0.186071,0.835366145,25.134083
CME,0.179794665,0.255562944,0.443416,0.703524003,39.65047
CMS,0.171896802,0.197532483,0.17519,0.870220431,20.562395
KO,0.098118412,0.177337341,0.614254,0.553286813,30.481024
CTSH,0.130949062,0.301808955,1.152717,0.43388064,25.836262
CL,0.116111105,0.184733393,,0.628533387,24.88263
CMCSA,0.203206858,0.236583203,1.038084,0.858923436,23.252966
CMA,0.115485896,0.353870462,1.617519,0.326350765,9.010499
CAG,0.130647767,0.241723351,0.821739,0.540484676,13.781894
COP,0.067941457,0.346705359,1.761413,0.195963099,9343.333
ED,0.095793374,0.193449069,0.154891,0.495186537,21.767483
STZ,0.284285199,0.31290962,1.196739,0.908521759,21.727844
COO,0.222945061,0.267342698,0.827529,0.833929871,8.880116
CPRT,0.293338738,0.251711867,1.027173,1.165375084,41.749504
GLW,0.133048069,0.305946344,1.161956,0.434873866,29.687944
CTVA,0.30783346,0.468378899,0.82743,0.657231701,
COST,0.211710145,0.193831992,0.644021,1.092235307,43.943142
CCI,0.180042424,0.227863558,0.369565,0.790132593,92.16706
CSX,0.205505723,0.290882866,1.165471,0.706489612,9.1584015
CMI,0.1407142,0.295424478,1.06964,0.47631192,18.326096
CVS,0.117403786,0.239708419,0.803046,0.48977748,14.667854
DHI,0.251742603,0.360220843,1.644236,0.698856294,11.063065
DHR,0.209943958,0.212326816,0.647442,0.988777402,46.731068
DRI,0.196741297,0.34452937,1.526115,0.571043615,
DVA,0.157964356,0.26871621,1.286265,0.587848259,18.588654
DE,0.177391184,0.273384163,1.041893,0.64887147,24.930365
DAL,0.212743024,0.410167129,1.457065,0.518673995,
XRAY,0.084393144,0.26525213,0.934782,0.318161984,83.9136
DVN,-0.029941046,0.471174935,3.347116,-0.063545499,
DXCM,0.443973863,0.477266497,0.751241,0.930243095,99.04131
FANG,0.265025803,0.511591228,2.745108,0.518042118,
DLR,0.176045432,0.259018786,0.1125,0.679662796,98.693985
DFS,0.240434515,0.352344523,1.832065,0.682384712,13.979535
DISCA,0.085952848,0.32013344,1.381521,0.26849069,25.971352
DISCK,0.084680226,0.312604016,1.381521,0.270886559,24.270369
DISH,0.126002763,0.361392574,2.152173,0.34865897,10.804746
DG,0.231948814,0.255372261,0.526659,0.908277245,21.386284
