Code,OUT1,OUT2,OUT3,OUT4,OUT5,OUT6,OUT7,OUT8,OUT9,OUT10,OUT11,OUT12,OUT13,OUT14,OUT15,OUT16,OUT17,OUT18,OUT19,OUT20,OUT21,OUT22,OUT23,OUT24,OUT25,OUT26,OUT27,OUT28,EMP1,EMP2,EMP3,EMP4,EMP5,EMP6,EMP7,EMP8,EMP9,EMP10,EMP11,EMP12,EMP13,EMP14,EMP15,EMP16,EMP17,EMP18,EMP19,HSS1,HSS2,HSS3,HSS4,HSS5,HSS6,HSS7,HSS8,HSS9,HSS10,HSS11,HSS12,HSS13,HSS14,HSS15,HSS16,HSS17,HSS18,RSC1,RSC2,RSC3,RSC4,RSC5,RSC6,RSC7,RSC8,RSC9,RSC10,RSC11,PRI1,PRI2,PRI3,PRI4,PRI5,PRI6,PRI7,PRI8,PRI9,PRI10,PRI11,PRI12,PRI13,PRI14,PRI15,PRI16,PRI17,PRI18,PRI19,AHE1,AHE2,AHE3,AHE4,AHE5,AHE6,AHE7,AHE8,AHE9,AHE10,AHE11,AHE12,AHE13,AHE14,AHE15,AHE16,AHE17,FIN1,FIN2,FIN3,FIN4,FIN5,FIN6,FIN7,FIN8,FIN9,FIN10,FIN11,FIN12,FIN13,FIN14,FIN15,FIN16,FIN17,FIN18,FIN19,FIN20,FIN21,FIN22,FIN23,FIN24,FIN25,FIN26
15/1/1986,57.3104,61.5499,63.5622,33.8197,74.6419,60.5699,37.1518,77.2313,72.026,50.4798,95.772,81.3427,88.4185,82.5475,30.4198,55.8526,52.7764,55.7406,45.1351,167.5736,79.5809,78.3469,78.3469,76.1564,81.622,83.7252,5920.449,5949.95,40.4,45.2,38.7,40.7,41.5,39.6,34.9,33,34.4,36.6,36.1,34.4,32.1,26.4,33,38.9,31.2,38.9,41.5,1847,1064,131,652,288,277,786,496,1972,1270,115.6,72,100,602,286,322,898,466,118.585,23.3,16.06,708.2,247.1,70.4,2827.13,1185.808,401.416,784.392,1641.322,54.148,121.668,54.821,45.688,72.672,55.143,39.956,105.8,107.1,108.6,105.5,104.6,103.8,102.2,102.4,94.2,102.7,95.2,105.3,8.11,9.29,10.98,10.79,8.74,7.61,7.96,9.1,6.32,10.43,12.8,10.97,7.45,8.65,7.45,4.74,6.66,1570.99,211.78,335.77,344.353913,23.09130435,8.212608696,8.16576087,8.152173913,8.163043478,7.074347826,7.163043478,7.302173913,7.726086957,8.137391304,8.677391304,9.187391304,10.04478261,11.43391304,0.423913043,0.835217391,1.375217391,1.885217391,1.461304348,1.05,1.077826087,1
15/2/1986,56.9344,60.9473,62.9724,33.4722,74.0109,60.1851,36.9437,76.52,71.0729,50.304,94.5136,80.5906,88.3786,82.2239,30.4109,55.5911,52.5177,55.4452,45.1191,165.2872,78.9674,77.8902,77.8902,75.6362,81.2551,82.5218,5951.038,5980.721,40,44.2,37,40.7,41.5,39.5,34.8,32.9,34.2,36.6,36.3,34.3,32,26.3,32.9,38.7,31,38.9,41.6,1767,1017,113,637,288,253,754,472,1848,1143,107.2,65.1,102,603,280,338,747,483,117.48,20.4,15.371,653,246.8,76.2,2820.196,1166.034,389.362,776.671,1654.162,54.148,121.502,54.327,45.899,72.205,55.286,38.907,104.8,107.4,108.7,104.1,102.8,101.6,98.8,101.2,90.5,101.5,88.7,103.8,8.16,9.32,11.09,10.85,8.79,7.67,8.01,9.21,6.36,10.49,12.92,11.04,7.56,8.72,7.53,4.76,6.72,1709.06,226.92,359.53,338.8005,15.47,7.867,8.0078125,8.015625,8.028125,7.062,7.1095,7.288,7.612,7.9685,8.3335,8.703,9.67,11.1145,0.324,0.6805,1.0455,1.415,1.091,0.7345,0.953625,0.918625
15/3/1986,56.542,60.7483,62.7785,33.4568,73.7477,60.1386,36.8845,74.7052,69.5477,49.7407,92.0016,80.2196,88.0227,81.7534,30.262,55.4311,52.3429,55.2672,44.9129,165.1726,78.3414,77.5688,77.5688,75.4341,80.7503,80.2477,6007.109,6041.821,40,43.9,37.3,40.7,41.5,39.6,34.8,33,34.3,36.6,36.5,34.3,32,26.3,32.9,38.8,31.1,38.8,41.6,1780,1014,100,666,272,265,717,526,1876,1180,151,97,79,617,316,285,782,493,116.665,21.7,14.161,577.3,245.8,79.1,2823.619,1160.789,384.098,776.691,1662.83,54.029,121.577,53.38,46.1,71.378,55.454,36.284,104.8,107.6,108.9,102.8,101,99.1,94.9,99.9,88.2,100.1,84.3,102.1,8.22,9.39,11.19,10.85,8.86,7.74,8.07,9.28,6.4,10.56,13.05,11.14,7.67,8.81,7.6,4.81,6.79,1818.61,238.9,374.72,345.6014286,12.70238095,7.515714286,7.633928571,7.556547619,7.537202381,6.55,6.559047619,6.752857143,7.017619048,7.206190476,7.451428571,7.764761905,8.986666667,10.48904762,0.264761905,0.453333333,0.698571429,1.011904762,0.747142857,0.558571429,1.006547619,0.978154762
15/4/1986,56.5599,60.7675,62.9333,33.1739,74.1919,60.0577,36.8584,74.0783,68.8053,49.6342,89.0935,80.9246,88.2623,82.1504,30.2646,55.612,52.4278,55.4607,44.9615,172.3144,78.2914,77.6391,77.6391,75.3082,81.1067,77.6535,6027.016,6064.916,40,43.5,38,40.5,41.3,39.4,34.6,32.8,34,36.4,35.9,34.2,31.9,26.2,32.8,38.6,30.9,38.5,41.6,1858,1127,115,616,314,299,728,517,1933,1197,188.2,118.4,80,656,349,310,761,513,117.409,22.5,15.849,653.7,263.2,81.2,2835.206,1165.398,404.02,761.378,1669.807,53.918,121.693,52.747,46.183,70.844,55.554,34.219,105,108.4,109.2,102.3,100.3,97.9,92.7,98.9,85.6,99.1,80.8,101.3,8.25,9.43,11.27,10.97,8.88,7.75,8.08,9.28,6.43,10.59,13.08,11.16,7.69,8.83,7.6,4.8,6.8,1783.98,235.52,383.24,340.5004545,12.85272727,7.044545455,7.038352273,6.936079545,6.907670455,6.056363636,6.078636364,6.235454545,6.440454545,6.695,7.053636364,7.299090909,8.788636364,10.19045455,0.205,0.459545455,0.818181818,1.063636364,0.858636364,0.604090909,0.879715909,0.829034091
15/5/1986,56.6823,60.925,63.1728,33.1434,74.6133,60.209,36.8029,74.3373,69.1575,49.6476,88.549,81.4789,88.6171,82.6139,30.1273,55.6899,52.5065,55.5637,44.9034,173.8796,78.3886,77.7002,77.7002,75.1232,81.5277,77.1524,6031.841,6070.936,40.1,43.4,37.9,40.7,41.4,39.6,34.7,32.9,34.1,36.5,36,34.3,32,26.3,32.9,38.8,31,38.5,41.6,1797,1089,119,589,296,285,698,518,1854,1228,186.6,126.1,83,543,252,274,799,529,119.114,22,16.302,682.7,260.9,77.6,2857.488,1182.809,414.173,768.636,1674.678,54.017,122.125,52.861,46.242,71.035,55.649,34.293,106.1,108.4,109.3,102.8,101,98.4,93.4,98.7,86.5,98.9,80.3,101.7,8.26,9.44,11.31,11,8.9,7.76,8.08,9.29,6.42,10.58,13.14,11.17,7.72,8.83,7.62,4.81,6.81,1876.71,247.35,400.16,342.5909091,15.60136364,6.87,7.032670455,6.995738636,7,6.151363636,6.188181818,6.335909091,6.651363636,7.072727273,7.534090909,7.715454545,9.09,10.28954545,0.315454545,0.736818182,1.198181818,1.379545455,1.064090909,0.642727273,0.844375,0.811818182
15/6/1986,56.4976,60.7421,63.0589,32.8335,74.669,60.9151,36.6073,73.6844,68.9419,49.4016,87.3769,81.2084,89.1764,82.5882,29.862,55.5068,52.3386,55.3733,44.7671,172.4906,78.0608,77.3915,77.3915,74.6473,81.4613,76.1409,6034.321,6066.452,40,43.2,37.6,40.7,41.4,39.6,34.6,32.8,34,36.4,36.2,34.2,31.9,26.2,32.8,38.7,30.9,38.5,41.4,1790,1107,106,577,289,284,724,493,1847,1221,183.6,124.9,76,550,294,286,768,499,119.24,23.6,15.92,681.3,249.4,72,2861.673,1176.019,403.679,772.341,1685.654,54.218,122.609,53.043,46.416,71.294,55.816,34.958,106.2,108.6,109.6,103.1,101.2,98.7,93.8,98.6,86.2,98.8,79.8,102,8.24,9.4,11.27,10.98,8.85,7.75,8.06,9.28,6.4,10.58,13.15,11.14,7.77,8.83,7.61,4.79,6.81,1892.72,250.84,405.51,343.012381,13.46904762,6.951428571,7.099702381,7.063988095,7.092262381,6.209047619,6.267142857,6.396666667,6.732380952,7.184761905,7.637619048,7.79952381,9.132380952,10.33952381,0.335714286,0.788095238,1.240952381,1.402857143,1.067142857,0.614761905,0.854940476,0.825119524
15/7/1986,56.814,61.0783,63.3514,33.0496,75.0873,61.6597,36.8995,74.4977,69.5575,49.7342,87.0547,81.461,88.9463,82.6504,30.1375,55.7702,52.596,55.6387,44.9766,172.8866,78.4222,77.7022,77.7022,75.1555,81.4742,75.9102,6055.917,6098.276,40,43.4,37.8,40.6,41.3,39.5,34.6,32.8,34,36.3,36,34.2,31.9,26.2,32.8,38.7,30.9,38.3,41.6,1780,1102,107,571,297,302,701,480,1782,1153,172,113.5,80,549,325,272,712,473,119.647,22.5,15.742,634,268.8,97.4,2881.188,1187.497,415.927,771.57,1693.691,54.231,122.911,52.953,46.443,71.277,55.917,33.743,107.6,108.9,109.7,102.3,100.2,96.5,90.3,98,86.4,98.1,76.8,100.5,8.23,9.42,11.27,10.98,8.86,7.74,8.05,9.24,6.4,10.57,13.14,11.15,7.73,8.81,7.6,4.78,6.81,1775.31,236.12,371.37,348.6034783,11.68695652,6.575217391,6.726902174,6.664402609,6.665081739,5.832173913,5.860434783,6.003043478,6.265652174,6.66826087,7.066521739,7.303478261,8.876086957,10.16304348,0.262608696,0.665217391,1.063478261,1.300434783,1.037826087,0.635217391,0.832228696,0.804646957
15/8/1986,56.7381,61.104,63.43,33.0915,75.081,61.9269,36.9437,72.7768,68.2143,49.5164,86.0441,81.3175,89.9403,83.1926,30.1533,55.9517,52.7786,55.8161,45.1844,172.457,78.2354,77.8874,77.8874,75.1412,81.9489,75.1188,6081.428,6107.395,40.1,43.4,38,40.7,41.4,39.7,34.7,32.8,34,36.4,36.2,34.2,32,26.2,32.8,38.7,30.9,38.4,41.5,1726,1056,109,561,304,284,662,476,1807,1194,163.8,109.4,86,527,311,330,708,458,120.871,22.9,17.285,734,269.4,61.1,2898.579,1202.844,434.383,768.461,1695.736,54.3,123.199,52.973,46.507,71.355,56.032,32.96,109.5,108.9,109.8,102.7,100.7,96.4,90.2,98,86.7,98,76.3,100.5,8.25,9.43,11.28,11.01,8.87,7.75,8.07,9.29,6.4,10.61,13.19,11.14,7.77,8.83,7.61,4.79,6.82,1898.34,252.93,382.86,376.7809524,15.09190476,6.171904762,6.25,6.18452381,6.178571429,5.527142857,5.552380952,5.685238095,5.932380952,6.326190476,6.802380952,7.165714286,8.723333333,10.18190476,0.247142857,0.640952381,1.117142857,1.48047619,1.233333333,0.83952381,0.657380952,0.626190476
15/9/1986,56.8532,61.1491,63.4957,33.1129,75.1319,62.487,37.1065,73.0261,68.3135,49.6751,85.3186,81.1129,89.4418,83.1043,30.4113,56.0729,52.8888,55.9285,45.3249,172.5459,78.3034,77.9486,77.9486,75.3485,81.7894,74.6092,6089.572,6112.998,40.2,43,38.1,40.7,41.5,39.6,34.6,32.7,33.9,36.4,35.9,34.2,31.9,26.2,32.7,38.6,30.8,38.2,41.4,1686,1077,101,508,273,304,631,478,1687,1137,154,102.5,64,486,269,295,698,425,127.973,22.8,21.495,959.9,294.3,86.9,2971.835,1259.906,486.811,773.095,1711.928,54.477,123.377,53.135,46.686,71.53,56.216,33.291,109,108.4,109.7,102.9,100.9,97,91.3,98.5,86.6,98.6,77.5,100.8,8.22,9.39,11.18,10.99,8.82,7.73,8.04,9.25,6.4,10.56,13.18,11.12,7.74,8.81,7.6,4.79,6.8,1767.58,231.32,350.67,418.325,14.95818182,5.913181818,6.071022727,5.997159091,5.997159091,5.207727273,5.343181818,5.350454545,5.762727273,6.327727273,6.895454545,7.425,8.875,10.19363636,0.412272727,0.977272727,1.545,2.074545455,1.662272727,1.097272727,0.789431818,0.653977273
15/10/1986,57.1191,61.3333,63.7143,33.0524,75.4792,62.5013,37.0959,73.4836,68.6937,49.9797,85.9775,81.6249,90.65,83.9286,30.4538,56.3223,53.103,56.1584,45.5999,173.467,78.5679,78.1439,78.1439,75.1818,82.5133,75.3401,6093.147,6109.267,40,43.1,37.6,40.6,41.3,39.6,34.6,32.8,34,36.2,36.1,34.2,31.9,26.2,32.8,38.6,30.9,38.1,41.3,1675,1050,107,518,264,273,633,505,1681,1126,154.8,100.9,84,471,263,281,683,454,122.617,23.1,14.793,591.7,263.2,78.5,2932.936,1213.207,434.902,778.306,1719.729,54.575,123.515,53.039,46.854,71.48,56.407,32.618,109.8,110.7,110.6,103.5,101.5,97.4,90.7,98.3,87.4,98.4,77.7,101.4,8.23,9.41,11.2,11.06,8.83,7.74,8.05,9.27,6.4,10.58,13.16,11.13,7.75,8.82,7.62,4.79,6.82,1877.81,243.98,360.77,423.8952174,14.85304348,5.85826087,6.007472609,5.999320435,6.002037826,5.174347826,5.255652174,5.317826087,5.715217391,6.273913043,6.827826087,7.423478261,8.86173913,10.23652174,0.397391304,0.956086957,1.51,2.105652174,1.70826087,1.149565217,0.824972609,0.746385652
