Page,Number,Date,Post Text,Media Type,Likes,Comments,Shares,Media Link
Carl Blue Clemson,339,5d • 5 days ago,https://lnkd.in/eJrSCYAX,Image,5,0,1 repost,None
Carl Blue Clemson,339,5d • 5 days ago,Clemson Tigers on the campus of University of Colorado - BoulderGraphic Communications students 2025,Image,43,0,4 reposts,None
Carl Blue Clemson,339,5d • Edited • 5 days ago,"Clemson’s GC TAGA-CI Students WIN Recognition, Best Journal Design, and Best Technical Paper Publication Categories @TAGA NextGen Conference 2025, Boulder, CO",Image,34,3 comments,6 reposts,None
Carl Blue Clemson,339,1w • Edited • 1 week ago,"Great appreciation to Clemson’s Creative Inquiry program and PGSF provided the funding resources to travel and compete at the TAGA25 NextGen Conference in Boulder, CO for our GC student TAGA organization.",Image,18,0,2 reposts,None
Carl Blue Clemson,339,1w • 1 week ago,,Article,4,1 comment,0,https://news.clemson.edu/exploring-ais-role-in-graphic-communications/
Carl Blue Clemson,339,1mo • 1 month ago,"https://lnkd.in/dBriuNUfHeading to the TAGA 2025 in Boulder, CO 3/25-3/28",Article,13,1 comment,1 repost,https://taga.org/conference
Carl Blue Clemson,339,1mo • Edited • 1 month ago,https://lnkd.in/e643jcu6Your feedback on this survey is greatly encouraged—it takes less than 10 minutes. Technical Writing Initiative in Graphic Communications 2025Participation in taking this survey will assist in developing curriculum and instructional materials that will enhance students' learning of technical writing and provide instructors in the Graphic Communications discipline with valuable resources. This research aims to develop a concise supplemental Technical Writing resource for Graphic Communications majors and instructors (and beyond) based on assembled competencies derived through a study of responses from academics and industry professionals.,Unknown,1,0,2 reposts,None
Carl Blue Clemson,339,1mo • Edited • 1 month ago,"💜🧡 Support the Future of Graphic Communications at Clemson! 🧡💜https://lnkd.in/edK8rpaZThe Department of Graphic Communications at Clemson University is shaping the next generation of industry leaders, equipping students with hands-on experience, cutting-edge technology, and real-world industry exposure.Your support makes a direct impact—funding student academic achievement, industry exploration, and career-building opportunities that set them up for success.Join us in investing in the future of graphic communications! Every contribution helps students gain the skills and connections they need to thrive in this ever-evolving field.",Image,39,0,6 reposts,None
Carl Blue Clemson,339,2mo • 2 months ago,"PROMPTS: A.I. SHOW 2.0In welcoming the return of GC Majors and celebrating 2025, I am presenting my second A.I. Show 2.0 in the lobby of Godfrey Hall. My exhibition examines the relationship between tradition and innovation, exploring the theme, ""The value of an idea lies not in its originality but in its execution."" The collection features works that bridge traditional techniques—such as acrylic painting—with contemporary approaches like AI-generated imagery, demonstrating how the execution of an idea imbues it with meaning and resonance.From expressive self-portraits in acrylic to dynamic woodcut-inspired digital designs, the show invites viewers to consider the transformation of artistic concepts through diverse mediums. The interplay of natural phenomena, personal identity, and advanced technology offers a critical dialogue on the evolving role of execution in artmaking.Event Details:Location: Godfrey Hall lobby, Clemson UniversityDates: 1/21/2025 – 2/28/2025This exhibit offers a compelling exploration of how artistic practices adapt, evolve, and redefine the boundaries of creative expression.",Unknown,17,0,2 reposts,None
Carl Blue Clemson,339,2mo • 2 months ago,"Spring 2025 - Day One:  1st Lab, our GC 2070 students are tasked to a hands-on and eyes-on color match of Clemson’s brand spot colors by visually mixing transparent CMYK inks to match the proof. This fun exercise is intended as a foundational introduction to Color Theory.",Image,72,1 comment,4 reposts,None
