Page,Number,Date,Post Text,Media Type,Likes,Comments,Shares,Media Link
Chad Navis 603413,22,1mo • 1 month ago,"Worth considering the old phrase, “when you have a hammer, everything looks like a nail.” Appreciate the detailed assessment of the impacts of these decisions.",Shared Post,3,0,1 repost,None
Chad Navis 603413,22,2mo • 2 months ago,"Many many hours of work go into creating a book, but you only get one chance to hold it in your hands for the first time. Today is that day for me, it's a special feeling! Thanks to those who helped along this journey - Haley Dosenbach for all the research and writing assistance, Ali Ferguson for the editing work, Oxford University Press for publishing it, Marc Gruber, Rebecca J. White, PhD, York Zucchi, Sophie Bacq, Melissa Cardon, Dr. Donald F. Kuratko (""Dr. K""), Dr. Michael Morris, Chad Navis, and Justin Webb for the endorsements. Get your copy of ""The Principles of Entrepreneurial Progress"" at https://lnkd.in/gxbyHcNq. If you do get a copy, I would love to get a few Amazon reviews.",Shared Post,960,110 comments,9 reposts,None
Chad Navis 603413,22,2mo • 2 months ago,"Is it time to make a change, but one that lets you slowly transition into the next chapter without giving up your current career? Please explore our exciting Executive PhD Program! https://lnkd.in/eQFT5HVW We’re on track to graduate our first cohort of Executives later this year, and I could not be more excited to see them accomplish this milestone! Department of Management at Clemson University",Shared Post,6,1 comment,1 repost,None
Chad Navis 603413,22,3mo • 4 months ago,"I’m wrapping up my first semester in Clemson's PhD program in Executive Leadership! The program, faculty, and overall experience have been truly exceptional. Not to mention, the campus is simply stunning 🌟 🧡Are you interested in expanding your knowledge and developing research and analytical skills?  If so, consider applying to join the upcoming Cohort and become a part of bridging the gap between business and academia! 🌟💜Reach out to Kristin Scott and find more info here: https://lnkd.in/g-i9d7Hfhashtag#Clemson hashtag#ExecutivePhD hashtag#BusinessEducation hashtag#lifelonglearning",Shared Post,67,12 comments,2 reposts,None
Chad Navis 603413,22,5mo • 6 months ago,Super excited to open up the application process for ENT in Spain Summer 2025! We had an amazing time last summer and are excited to welcome a new group of students. Come join us for Summer 2025! Click the link below and download the PPT to see some highlights from Summer 2024! https://lnkd.in/ekgQqc6W,Shared Post,24,0,3 reposts,None
Chad Navis 603413,22,7mo • 7 months ago,"Linkages between technology, innovation, and entrepreneurship have materially impacted markets, societies, and environments—in good, bad, and undetermined ways. In the spirit of better understanding these linkages and impacts, colleagues Maribel Guerrero, Donald Siegel, Chad Navis, Tyler Wry, Martin Kenney, and I enthusiastically solicit submissions for special issue of Journal of Business Venturing (see shared post below). If you are doing research in this space, using any theoretical lens at any level of analysis, we would love to learn about your ideas and consider them for publication. We welcome theoretical, qualitative, quantitative, and mixed method work that pushes the boundaries of entrepreneurship research in bold and rigorous ways! AOM ENT Division AOM Organization & Management Theory Division (OMT)AOM TIM DivisionLSU E.  J. Ourso College of BusinessLouisiana State UniversityLSU Stephenson Department of Entrepreneurship & Information SystemsJeffery S McMullen",Shared Post,18,0,1 repost,None
Chad Navis 603413,22,9mo • Edited • 9 months ago,"Special congratulations to Jonathan (now Dr. Preedom) on successfully defending his impressive dissertation yesterday! It has been so rewarding working with him over the past several years and seeing his growth and dedication firsthand. I could not be more impressed with everything he has overcome and achieved throughout this long and arduous PhD journey.Wishing you all the best, Jonathan Preedom, in your next steps and future position at LSU. I know you'll continue to have a positive impact on your colleagues, students, entrepreneurs, and the world. I look forward to our continued projects together!And special thanks to Amy Ingram, Matt Hersel, Lori Tribble Trudell, and Greg Fisher (external) for being such terrific dissertation committee members!",Image,70,7 comments,1 repost,None
Chad Navis 603413,22,9mo • 10 months ago,"Clemson University Entrepreneurship and Family Business study abroad students toured Pamplona yesterday! The students learned about the Running of the Bulls, Navarre’s regional economy, and the entrepreneurial spirit of the area. Seeing this group grow their independence and foster their entrepreneurial mindset has been a highlight of this trip for me. Super proud of this group!Chad Navis Wilbur O. and Ann Powers College of Business at Clemson University Department of Management at Clemson University Clemson Entrepreneurs Clemson Study Abroad",Shared Post,22,0,1 repost,None
Chad Navis 603413,22,9mo • 10 months ago,"Clemson University Entrepreneurship and Family Busienss Study abroad program went to MADRID AREA CHAMBER OF COMMERCE yesterday! Students learned about what the chamber does for the start ups and businesses in the area. Lovely views and wonderful discussions! Chad Navis and I are lucky to be a part of the this group’s experience. Department of Management at Clemson University Clemson Entrepreneurs Clemson Study Abroad Wilbur O. and Ann Powers College of Business at Clemson University ESPALANG,",Shared Post,21,0,3 reposts,None
Chad Navis 603413,22,9mo • 10 months ago,"Clemson University Entrepreneurship and Family Business in Spain study abroad program is well under way! Yesterday, students explored Toledo and learned about the city, its history, and its politics. What an amazing experience! Chad Navis and I are so lucky to be experiencing this with such a great group of students! Thanks to Ece Ozturk for showing us around this week! hashtag#clemsonentrepreneurs hashtag#clemsonstudents hashtag#clemsonabroad hashtag#TigersinSpainDepartment of Management at Clemson UniversityClemson Study AbroadWilbur O. and Ann Powers College of Business at Clemson UniversityClemson EntrepreneursESPALANG",Shared Post,45,1 comment,1 repost,None
